в 0,0579419486581097
е 0,0451429404900817
р 0,0461882535978219
ш 0,0108299299883314
н 0,0569574095682614
и 0,0672039089848308
к 0,038008070789576
я 0,0200554259043174
о 0,0977610851808635
с 0,0418489887203423
ь 0,0146343835083625
й 0,0159957215091404
ю 0,0080950991831972
і 0,0559242512640996
п 0,029949436017114
д 0,0347627382341501
л 0,0437329832749903
т 0,046321956437184
у 0,0333163166083236
а 0,0884018864255154
б 0,022024504084014
г 0,0172112018669778
з 0,0224377674056787
ц 0,00680669000388954
ґ 6,07740178918709E-05
м 0,0288676584986387
ч 0,0157526254375729
х 0,0132608907040062
є 0,00363428626993388
ї 0,00519010112796577
ж 0,00680669000388954
ф 0,000875145857642941
щ 0,00397462077012836
ы 2,43096071567483E-05
